lakename,lakeid,lake_number,lake_abbr_biocom,plotid,site,plot,zone,type,source,species,scientific_name,common_name,diameter,diameter_estimated,length,length_estimated,length_range_code,branchiness,decay,orientation,elevation,intersections,comment_code,comments
Allequash Lake,AL,27,AL,27821,8,B,1,,,NO_LOGS,,no logs present,,,,,,,,,,,16,16= Rowed Transect that contains no logs: 
Allequash Lake,AL,27,AL,27831,8,C,1,,,NO_LOGS,,no logs present,,,,,,,,,,,16,16= Rowed Transect that contains no logs: 
Allequash Lake,AL,27,AL,27851,8,E,1,,,NO_LOGS,,no logs present,,,,,,,,,,,16,16= Rowed Transect that contains no logs: 
Allequash Lake,AL,27,AL,27311,3,A,1,,,NO_LOGS,,no logs present,,,,,,,,,,,1,1= No logs in transect: 
Allequash Lake,AL,27,AL,27421,4,B,1,,,NO_LOGS,,no logs present,,,,,,,,,,,1,1= No logs in transect: 
Allequash Lake,AL,27,AL,27631,6,C,1,LOG,N,CONIFER,,conifer,12.2,0,,,3,2,2,PARA,0,2,0,
Allequash Lake,AL,27,AL,27731,7,C,1,,,NO_LOGS,,no logs present,,,,,,,,,,,1,1= No logs in transect: 
Allequash Lake,AL,27,AL,27841,8,D,1,,,NO_LOGS,,no logs present,,,,,,,,,,,16,16= Rowed Transect that contains no logs: 
Anvil Lake,AN,59,AN,59841,8,D,1,,,NO_LOGS,,no logs present,,,,,,,,,,,1,1= No logs in transect: 
Anvil Lake,AN,59,AN,59831,8,C,1,,,NO_LOGS,,no logs present,,,,,,,,,,,1,1= No logs in transect: 
Anvil Lake,AN,59,AN,59821,8,B,1,,,NO_LOGS,,no logs present,,,,,,,,,,,1,1= No logs in transect: 
Anvil Lake,AN,59,AN,59811,8,A,1,,,NO_LOGS,,no logs present,,,,,,,,,,,1,1= No logs in transect: 
Anvil Lake,AN,59,AN,59751,7,E,1,,,NO_LOGS,,no logs present,,,,,,,,,,,1,1= No logs in transect: 
Anvil Lake,AN,59,AN,59741,7,D,1,,,NO_LOGS,,no logs present,,,,,,,,,,,1,1= No logs in transect: 
Anvil Lake,AN,59,AN,59721,7,B,1,,,NO_LOGS,,no logs present,,,,,,,,,,,1,1= No logs in transect: 
Anvil Lake,AN,59,AN,59711,7,A,1,,,NO_LOGS,,no logs present,,,,,,,,,,,1,1= No logs in transect: 
Anvil Lake,AN,59,AN,59651,6,E,1,,,NO_LOGS,,no logs present,,,,,,,,,,,1,1= No logs in transect: 
Anvil Lake,AN,59,AN,59641,6,D,1,,,NO_LOGS,,no logs present,,,,,,,,,,,1,1= No logs in transect: 
Anvil Lake,AN,59,AN,59631,6,C,1,,,NO_LOGS,,no logs present,,,,,,,,,,,1,1= No logs in transect: 
Anvil Lake,AN,59,AN,59621,6,B,1,,,NO_LOGS,,no logs present,,,,,,,,,,,1,1= No logs in transect: 
Anvil Lake,AN,59,AN,59611,6,A,1,,,NO_LOGS,,no logs present,,,,,,,,,,,1,1= No logs in transect: 
Anvil Lake,AN,59,AN,59551,5,E,1,,,NO_LOGS,,no logs present,,,,,,,,,,,1,1= No logs in transect: 
Anvil Lake,AN,59,AN,59541,5,D,1,,,NO_LOGS,,no logs present,,,,,,,,,,,1,1= No logs in transect: 
Anvil Lake,AN,59,AN,59531,5,C,1,,,NO_LOGS,,no logs present,,,,,,,,,,,1,1= No logs in transect: 
Anvil Lake,AN,59,AN,59521,5,B,1,,,NO_LOGS,,no logs present,,,,,,,,,,,1,1= No logs in transect: 
Anvil Lake,AN,59,AN,59511,5,A,1,,,NO_LOGS,,no logs present,,,,,,,,,,,1,1= No logs in transect: 
Anvil Lake,AN,59,AN,59451,4,E,1,,,NO_LOGS,,no logs present,,,,,,,,,,,1,1= No logs in transect: 
Anvil Lake,AN,59,AN,59441,4,D,1,,,NO_LOGS,,no logs present,,,,,,,,,,,1,1= No logs in transect: 
Anvil Lake,AN,59,AN,59431,4,C,1,,,NO_LOGS,,no logs present,,,,,,,,,,,1,1= No logs in transect: 
Anvil Lake,AN,59,AN,59421,4,B,1,,,NO_LOGS,,no logs present,,,,,,,,,,,1,1= No logs in transect: 
Anvil Lake,AN,59,AN,59411,4,A,1,,,NO_LOGS,,no logs present,,,,,,,,,,,1,1= No logs in transect: 
Anvil Lake,AN,59,AN,59351,3,E,1,,,NO_LOGS,,no logs present,,,,,,,,,,,1,1= No logs in transect: 
Anvil Lake,AN,59,AN,59341,3,D,1,,,NO_LOGS,,no logs present,,,,,,,,,,,1,1= No logs in transect: 
Anvil Lake,AN,59,AN,59331,3,C,1,,,NO_LOGS,,no logs present,,,,,,,,,,,1,1= No logs in transect: 
Anvil Lake,AN,59,AN,59321,3,B,1,,,NO_LOGS,,no logs present,,,,,,,,,,,1,1= No logs in transect: 
Anvil Lake,AN,59,AN,59311,3,A,1,,,NO_LOGS,,no logs present,,,,,,,,,,,1,1= No logs in transect: 
Anvil Lake,AN,59,AN,59251,2,E,1,,,NO_LOGS,,no logs present,,,,,,,,,,,1,1= No logs in transect: 
Anvil Lake,AN,59,AN,59231,2,C,1,,,NO_LOGS,,no logs present,,,,,,,,,,,1,1= No logs in transect: 
Anvil Lake,AN,59,AN,59221,2,B,1,,,NO_LOGS,,no logs present,,,,,,,,,,,1,1= No logs in transect: 
Anvil Lake,AN,59,AN,59211,2,A,1,,,NO_LOGS,,no logs present,,,,,,,,,,,1,1= No logs in transect: 
Anvil Lake,AN,59,AN,59151,1,E,1,,,NO_LOGS,,no logs present,,,,,,,,,,,1,1= No logs in transect: 
Anvil Lake,AN,59,AN,59141,1,D,1,,,NO_LOGS,,no logs present,,,,,,,,,,,1,1= No logs in transect: 
Anvil Lake,AN,59,AN,59131,1,C,1,,,NO_LOGS,,no logs present,,,,,,,,,,,1,1= No logs in transect: 
Anvil Lake,AN,59,AN,59121,1,B,1,,,NO_LOGS,,no logs present,,,,,,,,,,,1,1= No logs in transect: 
Anvil Lake,AN,59,AN,59111,1,A,1,,,NO_LOGS,,no logs present,,,,,,,,,,,1,1= No logs in transect: 
Anvil Lake,AN,59,AN,59851,8,E,1,,,NO_LOGS,,no logs present,,,,,,,,,,,1,1= No logs in transect: 
Anvil Lake,AN,59,AN,59731,7,C,1,,,NO_LOGS,,no logs present,,,,,,,,,,,1,1= No logs in transect: 
Anvil Lake,AN,59,AN,59241,2,D,1,,,NO_LOGS,,no logs present,,,,,,,,,,,1,1= No logs in transect: 
Arrowhead Lake,AR,28,AR,28111,1,A,1,,,NO_LOGS,,no logs present,,,,,,,,,,,1,1= No logs in transect: 
Arrowhead Lake,AR,28,AR,28121,1,B,1,,,NO_LOGS,,no logs present,,,,,,,,,,,1,1= No logs in transect: 
Arrowhead Lake,AR,28,AR,28131,1,C,1,,,NO_LOGS,,no logs present,,,,,,,,,,,1,1= No logs in transect: 
Arrowhead Lake,AR,28,AR,28141,1,D,1,,,NO_LOGS,,no logs present,,,,,,,,,,,1,1= No logs in transect: 
Arrowhead Lake,AR,28,AR,28151,1,E,1,,,NO_LOGS,,no logs present,,,,,,,,,,,1,1= No logs in transect: 
Arrowhead Lake,AR,28,AR,28211,2,A,1,,,NO_LOGS,,no logs present,,,,,,,,,,,1,1= No logs in transect: 
Arrowhead Lake,AR,28,AR,28221,2,B,1,,,NO_LOGS,,no logs present,,,,,,,,,,,1,1= No logs in transect: 
Arrowhead Lake,AR,28,AR,28231,2,C,1,,,NO_LOGS,,no logs present,,,,,,,,,,,1,1= No logs in transect: 
Arrowhead Lake,AR,28,AR,28241,2,D,1,,,NO_LOGS,,no logs present,,,,,,,,,,,1,1= No logs in transect: 
Arrowhead Lake,AR,28,AR,28251,2,E,1,,,NO_LOGS,,no logs present,,,,,,,,,,,1,1= No logs in transect: 
Arrowhead Lake,AR,28,AR,28311,3,A,1,,,NO_LOGS,,no logs present,,,,,,,,,,,1,1= No logs in transect: 
Arrowhead Lake,AR,28,AR,28321,3,B,1,,,NO_LOGS,,no logs present,,,,,,,,,,,1,1= No logs in transect: 
Arrowhead Lake,AR,28,AR,28341,3,D,1,,,NO_LOGS,,no logs present,,,,,,,,,,,1,1= No logs in transect: 
Arrowhead Lake,AR,28,AR,28351,3,E,1,,,NO_LOGS,,no logs present,,,,,,,,,,,1,1= No logs in transect: 
Arrowhead Lake,AR,28,AR,28411,4,A,1,,,NO_LOGS,,no logs present,,,,,,,,,,,1,1= No logs in transect: 
Arrowhead Lake,AR,28,AR,28421,4,B,1,,,NO_LOGS,,no logs present,,,,,,,,,,,1,1= No logs in transect: 
Arrowhead Lake,AR,28,AR,28431,4,C,1,,,NO_LOGS,,no logs present,,,,,,,,,,,1,1= No logs in transect: 
Arrowhead Lake,AR,28,AR,28451,4,E,1,,,NO_LOGS,,no logs present,,,,,,,,,,,1,1= No logs in transect: 
Arrowhead Lake,AR,28,AR,28511,5,A,1,,,NO_LOGS,,no logs present,,,,,,,,,,,1,1= No logs in transect: 
Arrowhead Lake,AR,28,AR,28521,5,B,1,,,NO_LOGS,,no logs present,,,,,,,,,,,1,1= No logs in transect: 
Arrowhead Lake,AR,28,AR,28531,5,C,1,,,NO_LOGS,,no logs present,,,,,,,,,,,1,1= No logs in transect: 
Arrowhead Lake,AR,28,AR,28541,5,D,1,,,NO_LOGS,,no logs present,,,,,,,,,,,1,1= No logs in transect: 
Arrowhead Lake,AR,28,AR,28551,5,E,1,LOG,N,PIST,Pinus strobus ,white pine,65.7,0,,,3,3,1,PERP,0,0,99,99=Misc note: RESTING ON BOTTOM AND EMERGING FROM H2O
Arrowhead Lake,AR,28,AR,28611,6,A,1,,,NO_LOGS,,no logs present,,,,,,,,,,,1,1= No logs in transect: 
Arrowhead Lake,AR,28,AR,28621,6,B,1,,,NO_LOGS,,no logs present,,,,,,,,,,,1,1= No logs in transect: 
Arrowhead Lake,AR,28,AR,28631,6,C,1,,,NO_LOGS,,no logs present,,,,,,,,,,,1,1= No logs in transect: 
Arrowhead Lake,AR,28,AR,28641,6,D,1,,,NO_LOGS,,no logs present,,,,,,,,,,,1,1= No logs in transect: 
Arrowhead Lake,AR,28,AR,28651,6,E,1,,,NO_LOGS,,no logs present,,,,,,,,,,,1,1= No logs in transect: 
Arrowhead Lake,AR,28,AR,28711,7,A,1,,,NO_LOGS,,no logs present,,,,,,,,,,,1,1= No logs in transect: 
Arrowhead Lake,AR,28,AR,28711,7,A,1,,,NO_LOGS,,no logs present,,,,,,,,,,,1,1= No logs in transect: 
Arrowhead Lake,AR,28,AR,28721,7,B,1,,,NO_LOGS,,no logs present,,,,,,,,,,,1,1= No logs in transect: 
Arrowhead Lake,AR,28,AR,28741,7,D,1,,,NO_LOGS,,no logs present,,,,,,,,,,,1,1= No logs in transect: 
Arrowhead Lake,AR,28,AR,28751,7,E,1,,,NO_LOGS,,no logs present,,,,,,,,,,,1,1= No logs in transect: 
Arrowhead Lake,AR,28,AR,28811,8,A,1,,,NO_LOGS,,no logs present,,,,,,,,,,,1,1= No logs in transect: 
Arrowhead Lake,AR,28,AR,28821,8,B,1,,,NO_LOGS,,no logs present,,,,,,,,,,,1,1= No logs in transect: 
Arrowhead Lake,AR,28,AR,28831,8,C,1,,,NO_LOGS,,no logs present,,,,,,,,,,,1,1= No logs in transect: 
Arrowhead Lake,AR,28,AR,28851,8,E,1,,,NO_LOGS,,no logs present,,,,,,,,,,,1,1= No logs in transect: 
Arrowhead Lake,AR,28,AR,28331,3,C,1,,,NO_LOGS,,no logs present,,,,,,,,,,,1,1= No logs in transect: 
Arrowhead Lake,AR,28,AR,28441,4,D,1,,,NO_LOGS,,no logs present,,,,,,,,,,,1,1= No logs in transect: 
Arrowhead Lake,AR,28,AR,28731,7,C,1,,,NO_LOGS,,no logs present,,,,,,,,,,,1,1= No logs in transect: 
Arrowhead Lake,AR,28,AR,28841,8,D,1,,,NO_LOGS,,no logs present,,,,,,,,,,,1,1= No logs in transect: 
Bass Lake,BA,44,BA,44111,1,A,1,,,NO_LOGS,,no logs present,,,,,,,,,,,0,
Bass Lake,BA,44,BA,44121,1,B,1,,,NO_LOGS,,no logs present,,,,,,,,,,,0,
Bass Lake,BA,44,BA,44131,1,C,1,,,NO_LOGS,,no logs present,,,,,,,,,,,0,
Bass Lake,BA,44,BA,44141,1,D,1,,,NO_LOGS,,no logs present,,,,,,,,,,,0,
Bass Lake,BA,44,BA,44151,1,E,1,,,NO_LOGS,,no logs present,,,,,,,,,,,0,
Bass Lake,BA,44,BA,44211,2,A,1,,,NO_LOGS,,no logs present,,,,,,,,,,,0,
Bass Lake,BA,44,BA,44221,2,B,1,,,NO_LOGS,,no logs present,,,,,,,,,,,0,
Bass Lake,BA,44,BA,44231,2,C,1,,,NO_LOGS,,no logs present,,,,,,,,,,,0,
Bass Lake,BA,44,BA,44241,2,D,1,,,NO_LOGS,,no logs present,,,,,,,,,,,0,
Bass Lake,BA,44,BA,44251,2,E,1,,,NO_LOGS,,no logs present,,,,,,,,,,,0,
Bass Lake,BA,44,BA,44311,3,A,1,,,NO_LOGS,,no logs present,,,,,,,,,,,0,
Bass Lake,BA,44,BA,44321,3,B,1,,,NO_LOGS,,no logs present,,,,,,,,,,,0,
Bass Lake,BA,44,BA,44331,3,C,1,,,NO_LOGS,,no logs present,,,,,,,,,,,0,
Bass Lake,BA,44,BA,44341,3,D,1,,,NO_LOGS,,no logs present,,,,,,,,,,,0,
Bass Lake,BA,44,BA,44351,3,E,1,,,NO_LOGS,,no logs present,,,,,,,,,,,0,
Bass Lake,BA,44,BA,44411,4,A,1,,,NO_LOGS,,no logs present,,,,,,,,,,,0,
Bass Lake,BA,44,BA,44421,4,B,1,,,NO_LOGS,,no logs present,,,,,,,,,,,0,
Bass Lake,BA,44,BA,44431,4,C,1,,,NO_LOGS,,no logs present,,,,,,,,,,,0,
Bass Lake,BA,44,BA,44451,4,E,1,,,NO_LOGS,,no logs present,,,,,,,,,,,0,
Bass Lake,BA,44,BA,44511,5,A,1,,,NO_LOGS,,no logs present,,,,,,,,,,,0,
Bass Lake,BA,44,BA,44521,5,B,1,,,NO_LOGS,,no logs present,,,,,,,,,,,0,
Bass Lake,BA,44,BA,44531,5,C,1,,,NO_LOGS,,no logs present,,,,,,,,,,,0,
Bass Lake,BA,44,BA,44551,5,E,1,,,NO_LOGS,,no logs present,,,,,,,,,,,0,
Bass Lake,BA,44,BA,44611,6,A,1,,,NO_LOGS,,no logs present,,,,,,,,,,,0,
Bass Lake,BA,44,BA,44621,6,B,1,,,NO_LOGS,,no logs present,,,,,,,,,,,0,
Bass Lake,BA,44,BA,44631,6,C,1,,,NO_LOGS,,no logs present,,,,,,,,,,,0,
Bass Lake,BA,44,BA,44641,6,D,1,,,NO_LOGS,,no logs present,,,,,,,,,,,0,
Bass Lake,BA,44,BA,44711,7,A,1,,,NO_LOGS,,no logs present,,,,,,,,,,,0,
Bass Lake,BA,44,BA,44721,7,B,1,,,NO_LOGS,,no logs present,,,,,,,,,,,0,
Bass Lake,BA,44,BA,44731,7,C,1,,,NO_LOGS,,no logs present,,,,,,,,,,,0,
Bass Lake,BA,44,BA,44741,7,D,1,,,NO_LOGS,,no logs present,,,,,,,,,,,0,
Bass Lake,BA,44,BA,44811,8,A,1,,,NO_LOGS,,no logs present,,,,,,,,,,,0,
Bass Lake,BA,44,BA,44821,8,B,1,,,NO_LOGS,,no logs present,,,,,,,,,,,0,
Bass Lake,BA,44,BA,44831,8,C,1,,,NO_LOGS,,no logs present,,,,,,,,,,,0,
Bass Lake,BA,44,BA,44841,8,D,1,,,NO_LOGS,,no logs present,,,,,,,,,,,0,
Bass Lake,BA,44,BA,44851,8,E,1,,,NO_LOGS,,no logs present,,,,,,,,,,,0,
Bass Lake,BA,44,BA,44441,4,D,1,,,NO_LOGS,,no logs present,,,,,,,,,,,0,
Bass Lake,BA,44,BA,44541,5,D,1,,,NO_LOGS,,no logs present,,,,,,,,,,,0,
Bass Lake,BA,44,BA,44651,6,E,1,,,NO_LOGS,,no logs present,,,,,,,,,,,0,
Bass Lake,BA,44,BA,44751,7,E,1,,,NO_LOGS,,no logs present,,,,,,,,,,,0,
Big Lake,BG,20,BG,20111,1,A,1,,,NO_LOGS,,no logs present,,,,,,,,,,,1,1= No logs in transect: NO CWD >10cm dia
Big Lake,BG,20,BG,20121,1,B,1,,,NO_LOGS,,no logs present,,,,,,,,,,,1,1= No logs in transect: NO CWD >10cm dia
Big Lake,BG,20,BG,20131,1,C,1,,,NO_LOGS,,no logs present,,,,,,,,,,,1,1= No logs in transect: NO CWD >10cm dia
Big Lake,BG,20,BG,20141,1,D,1,,,NO_LOGS,,no logs present,,,,,,,,,,,1,1= No logs in transect: NO CWD >10cm dia
Big Lake,BG,20,BG,20151,1,E,1,,,NO_LOGS,,no logs present,,,,,,,,,,,1,1= No logs in transect: NO CWD >10cm dia
Big Lake,BG,20,BG,20211,2,A,1,,,NO_LOGS,,no logs present,,,,,,,,,,,1,1= No logs in transect: NO CWD >10cm dia
Big Lake,BG,20,BG,20221,2,B,1,,,NO_LOGS,,no logs present,,,,,,,,,,,1,1= No logs in transect: NO CWD >10cm dia
Big Lake,BG,20,BG,20231,2,C,1,,,NO_LOGS,,no logs present,,,,,,,,,,,1,1= No logs in transect: NO CWD >10cm dia
Big Lake,BG,20,BG,20241,2,D,1,,,NO_LOGS,,no logs present,,,,,,,,,,,1,1= No logs in transect: NO CWD >10cm dia
Big Lake,BG,20,BG,20251,2,E,1,,,NO_LOGS,,no logs present,,,,,,,,,,,1,1= No logs in transect: NO CWD >10cm dia
Big Lake,BG,20,BG,20311,3,A,1,,,NO_LOGS,,no logs present,,,,,,,,,,,1,1= No logs in transect: NO CWD >10cm dia
Big Lake,BG,20,BG,20321,3,B,1,,,NO_LOGS,,no logs present,,,,,,,,,,,1,1= No logs in transect: NO CWD >10cm dia
Big Lake,BG,20,BG,20331,3,C,1,,,NO_LOGS,,no logs present,,,,,,,,,,,1,1= No logs in transect: NO CWD >10cm dia
Big Lake,BG,20,BG,20341,3,D,1,,,NO_LOGS,,no logs present,,,,,,,,,,,1,1= No logs in transect: NO CWD >10cm dia
Big Lake,BG,20,BG,20351,3,E,1,,,NO_LOGS,,no logs present,,,,,,,,,,,1,1= No logs in transect: NO CWD >10cm dia
Big Lake,BG,20,BG,20411,4,A,1,LOG,N,UNK,,unknown,14,0,1000,1,3,1,2,PERP,1,,5,5 = estimated Length or diameter:Length Greater than 10 m
Big Lake,BG,20,BG,20421,4,B,1,,,NO_LOGS,,no logs present,,,,,,,,,,,1,1= No logs in transect: 
Big Lake,BG,20,BG,20431,4,C,1,,,NO_LOGS,,no logs present,,,,,,,,,,,1,1= No logs in transect: 
Big Lake,BG,20,BG,20441,4,D,1,,,NO_LOGS,,no logs present,,,,,,,,,,,1,1= No logs in transect: 
Big Lake,BG,20,BG,20451,4,E,1,,,NO_LOGS,,no logs present,,,,,,,,,,,1,1= No logs in transect: 
Big Lake,BG,20,BG,20511,5,A,1,LOG,B,UNK,,unknown,10,0,305,0,2,0,2,PERP,1,,0,
Big Lake,BG,20,BG,20521,5,B,1,,,NO_LOGS,,no logs present,,,,,,,,,,,1,1= No logs in transect: 
Big Lake,BG,20,BG,20531,5,C,1,LOG,N,BEPA,Betula papyrifera ,paper birch,16,0,530,0,2,0,0,PERP,3,,99,99=Misc note: large woodpile in C over a few hundred 5-10 logs (possibly beaver)
Big Lake,BG,20,BG,20531,5,C,1,LOG,N,BEPA,Betula papyrifera ,paper birch,25.7,0,850,0,3,1,1,PERP,3,,0,
Big Lake,BG,20,BG,20531,5,C,1,LOG,N,BEPA,Betula papyrifera ,paper birch,22,0,880,0,3,0,2,PERP,2,,0,
Big Lake,BG,20,BG,20541,5,D,1,,,NO_LOGS,,no logs present,,,,,,,,,,,1,1= No logs in transect: 
Big Lake,BG,20,BG,20551,5,E,1,LOG,N,HARDWOOD,,hardwood,16,0,1000,1,3,0,1,PERP,1,,5,5 = estimated Length or diameter:Length Greater than 10 m
Big Lake,BG,20,BG,20611,6,A,1,,,NO_LOGS,,no logs present,,,,,,,,,,,1,1= No logs in transect: NO CWD >10cm dia
Big Lake,BG,20,BG,20621,6,B,1,,,NO_LOGS,,no logs present,,,,,,,,,,,1,1= No logs in transect: NO CWD >10cm dia
Big Lake,BG,20,BG,20631,6,C,1,,,NO_LOGS,,no logs present,,,,,,,,,,,1,1= No logs in transect: NO CWD >10cm dia
Big Lake,BG,20,BG,20641,6,D,1,,,NO_LOGS,,no logs present,,,,,,,,,,,1,1= No logs in transect: NO CWD >10cm dia
Big Lake,BG,20,BG,20651,6,E,1,,,NO_LOGS,,no logs present,,,,,,,,,,,1,1= No logs in transect: NO CWD >10cm dia
Big Lake,BG,20,BG,20711,7,A,1,,,NO_LOGS,,no logs present,,,,,,,,,,,1,1= No logs in transect: NO CWD >10cm dia
Big Lake,BG,20,BG,20721,7,B,1,,,NO_LOGS,,no logs present,,,,,,,,,,,1,1= No logs in transect: NO CWD >10cm dia
Big Lake,BG,20,BG,20731,7,C,1,,,NO_LOGS,,no logs present,,,,,,,,,,,1,1= No logs in transect: NO CWD >10cm dia
Big Lake,BG,20,BG,20741,7,D,1,,,NO_LOGS,,no logs present,,,,,,,,,,,1,1= No logs in transect: NO CWD >10cm dia
Big Lake,BG,20,BG,20751,7,E,1,,,NO_LOGS,,no logs present,,,,,,,,,,,1,1= No logs in transect: NO CWD >10cm dia
Big Lake,BG,20,BG,20811,8,A,1,,,NO_LOGS,,no logs present,,,,,,,,,,,1,1= No logs in transect: NO CWD >10cm dia
Big Lake,BG,20,BG,20821,8,B,1,,,NO_LOGS,,no logs present,,,,,,,,,,,1,1= No logs in transect: NO CWD >10cm dia
Big Lake,BG,20,BG,20831,8,C,1,,,NO_LOGS,,no logs present,,,,,,,,,,,1,1= No logs in transect: NO CWD >10cm dia
Big Lake,BG,20,BG,20841,8,D,1,,,NO_LOGS,,no logs present,,,,,,,,,,,1,1= No logs in transect: NO CWD >10cm dia
Big Lake,BG,20,BG,20851,8,E,1,,,NO_LOGS,,no logs present,,,,,,,,,,,1,1= No logs in transect: NO CWD >10cm dia
Big Muskellunge Lake,BM,45,BM,45111,1,A,1,,,NO_LOGS,,no logs present,,,,,,,,,,,0,
Big Muskellunge Lake,BM,45,BM,45121,1,B,1,,,NO_LOGS,,no logs present,,,,,,,,,,,0,
Big Muskellunge Lake,BM,45,BM,45131,1,C,1,,,NO_LOGS,,no logs present,,,,,,,,,,,0,
Big Muskellunge Lake,BM,45,BM,45141,1,D,1,,,NO_LOGS,,no logs present,,,,,,,,,,,0,
Big Muskellunge Lake,BM,45,BM,45151,1,E,1,,,NO_LOGS,,no logs present,,,,,,,,,,,0,
Big Muskellunge Lake,BM,45,BM,45211,2,A,1,,,NO_LOGS,,no logs present,,,,,,,,,,,0,
