lakename,lakeid,lake_number,lake_abbr_biocom,plotid,site,plot,zone,type,source,species,scientific_name,common_name,diameter,diameter_estimated,length,length_estimated,length_range_code,branchiness,decay,comment_code,comments
Little Rock Lake - North,LN,24,LRN,24751,7,E,1,LOG,N,BEPA,Betula papyrifera ,paper birch,19.5,0,825,0,3,0,3,0,
Little Rock Lake - North,LN,24,LRN,24751,7,E,1,LOG,B,BEPA,Betula papyrifera ,paper birch,19.2,0,350,0,2,0,3,0,
Little Rock Lake - North,LN,24,LRN,24743,7,D,3,STUMP,N,BEPA,Betula papyrifera ,paper birch,20,0,,0,,0,,0,
Little Rock Lake - North,LN,24,LRN,24743,7,D,3,LOG,N,CONIFER,,conifer,26,0,805,0,3,0,4,0,
Little Rock Lake - North,LN,24,LRN,24743,7,D,3,LOG,N,UNK,,unknown,22,0,545,0,2,0,5,0,
Little Rock Lake - North,LN,24,LRN,24732,7,C,2,STUMP,N,PIST,Pinus strobus ,white pine,50,0,,0,,0,5,0,
Little Rock Lake - North,LN,24,LRN,24732,7,C,2,LOG,B,BEPA,Betula papyrifera ,paper birch,25.3,0,1330,0,3,0,1,0,
Little Rock Lake - North,LN,24,LRN,24732,7,C,2,LOG,N,CONIFER,,conifer,14.1,0,530,0,2,0,5,0,
Little Rock Lake - North,LN,24,LRN,24731,7,C,1,LOG,N,PIST,Pinus strobus ,white pine,34.7,0,520,1,2,2,3,2,2 = measured to H2O(assume length estimated): LENGTH TO H20 (branchiness is in water)
Little Rock Lake - North,LN,24,LRN,24731,7,C,1,SNAG,N,ACRU,Acer rubrum,red maple,14.5,0,,0,,0,,0,
Little Rock Lake - North,LN,24,LRN,24731,7,C,1,STUMP,B,BEPA,Betula papyrifera ,paper birch,25.3,0,,0,,0,,0,
Little Rock Lake - North,LN,24,LRN,24731,7,C,1,STUMP,B,BEPA,Betula papyrifera ,paper birch,27.5,0,,0,,0,,0,
Little Rock Lake - North,LN,24,LRN,24711,7,A,1,LOG,N,BEPA,Betula papyrifera ,paper birch,20.2,0,820,0,3,0,4,0,
Little Rock Lake - North,LN,24,LRN,24711,7,A,1,LOG,N,CONIFER,,conifer,14,0,345,0,2,0,3,0,
Little Rock Lake - North,LN,24,LRN,24651,6,E,1,LOG,B,BEPA,Betula papyrifera ,paper birch,29.9,0,1345,1,3,0,2,2,2 = measured to H2O(assume length estimated): LENGTH TO H20
Little Rock Lake - North,LN,24,LRN,24651,6,E,1,LOG,B,BEPA,Betula papyrifera ,paper birch,35.8,0,975,1,3,2,1,2,2 = measured to H2O(assume length estimated): LENGTH TO H20
Little Rock Lake - North,LN,24,LRN,24651,6,E,1,LOG,,BEPA,Betula papyrifera ,paper birch,19,0,457,1,2,0,5,2,2 = measured to H2O(assume length estimated): LENGTH TO H20
Little Rock Lake - North,LN,24,LRN,24651,6,E,1,SNAG,N,ACRU,Acer rubrum,red maple,14.2,0,,0,,2,,0,
Little Rock Lake - North,LN,24,LRN,24651,6,E,1,SNAG,N,ACRU,Acer rubrum,red maple,17.4,0,,0,,2,,0,
Little Rock Lake - North,LN,24,LRN,24651,6,E,1,STUMP,B,BEPA,Betula papyrifera ,paper birch,29.9,0,,0,,0,,0,
Little Rock Lake - North,LN,24,LRN,24651,6,E,1,STUMP,B,BEPA,Betula papyrifera ,paper birch,35.8,0,,0,,0,,0,
Little Rock Lake - North,LN,24,LRN,24651,6,E,1,LOG,N,HARDWOOD,,hardwood,13,0,645,0,3,0,4,0,
Little Rock Lake - North,LN,24,LRN,24651,6,E,1,LOG,B,ACRU,Acer rubrum,red maple,26,0,1800,0,3,3,3,0,
Little Rock Lake - North,LN,24,LRN,24651,6,E,1,LOG,N,HARDWOOD,,hardwood,14.2,0,495,0,2,3,1,0,
Little Rock Lake - North,LN,24,LRN,24631,6,C,1,LOG,B,ACRU,Acer rubrum,red maple,26,0,225,1,1,1,2,2,2 = measured to H2O(assume length estimated): LENGTH TO H20
Little Rock Lake - North,LN,24,LRN,24631,6,C,1,LOG,B,ACRU,Acer rubrum,red maple,37,0,1275,1,3,3,1,2,2 = measured to H2O(assume length estimated): LENGTH TO H20
Little Rock Lake - North,LN,24,LRN,24631,6,C,1,LOG,B,ACRU,Acer rubrum,red maple,38.5,0,720,1,3,1,1,2,2 = measured to H2O(assume length estimated): LENGTH TO H20
Little Rock Lake - North,LN,24,LRN,24631,6,C,1,SNAG,N,BEPA,Betula papyrifera ,paper birch,14.1,0,,0,,0,,0,
Little Rock Lake - North,LN,24,LRN,24631,6,C,1,STUMP,B,ACRU,Acer rubrum,red maple,38.5,0,,0,,0,,0,
Little Rock Lake - North,LN,24,LRN,24631,6,C,1,LOG,N,BEPA,Betula papyrifera ,paper birch,12,0,255,0,1,0,5,0,
Little Rock Lake - North,LN,24,LRN,24631,6,C,1,LOG,N,BEPA,Betula papyrifera ,paper birch,17,0,155,0,1,0,1,0,
Little Rock Lake - North,LN,24,LRN,24631,6,C,1,LOG,N,BEPA,Betula papyrifera ,paper birch,20,0,255,0,1,0,4,0,
Little Rock Lake - North,LN,24,LRN,24631,6,C,1,LOG,N,BEPA,Betula papyrifera ,paper birch,21,0,175,0,1,0,3,0,
Little Rock Lake - North,LN,24,LRN,24631,6,C,1,LOG,N,ACRU,Acer rubrum,red maple,13,0,695,0,3,1,3,0,
Little Rock Lake - North,LN,24,LRN,24631,6,C,1,LOG,N,BEPA,Betula papyrifera ,paper birch,12,0,555,0,2,0,5,0,
Little Rock Lake - North,LN,24,LRN,24631,6,C,1,LOG,N,ACRU,Acer rubrum,red maple,18,0,599,0,2,0,4,0,
Little Rock Lake - North,LN,24,LRN,24631,6,C,1,LOG,N,BEPA,Betula papyrifera ,paper birch,26,0,550,0,2,0,3,0,
Little Rock Lake - North,LN,24,LRN,24611,6,A,1,SNAG,B,HARDWOOD,,hardwood,36,0,,0,,3,1,99,99=Misc note: DEAD TREE
Little Rock Lake - North,LN,24,LRN,24611,6,A,1,LOG,N,HARDWOOD,,hardwood,15,0,700,0,3,2,1,99,99=Misc note: LIMB
Little Rock Lake - North,LN,24,LRN,24611,6,A,1,LOG,N,HARDWOOD,,hardwood,15.4,0,1000,0,3,3,1,99,99=Misc note: LIMB
Little Rock Lake - North,LN,24,LRN,24611,6,A,1,LOG,N,HARDWOOD,,hardwood,25,0,1000,0,3,2,1,99,99=Misc note: LIMB
Little Rock Lake - North,LN,24,LRN,24611,6,A,1,LOG,B,HARDWOOD,,hardwood,31.8,0,1085,0,3,0,1,99,99=Misc note: TRUNK
Little Rock Lake - North,LN,24,LRN,24611,6,A,1,LOG,N,CONIFER,,conifer,35,0,180,1,1,1,4,2,2 = measured to H2O(assume length estimated): LENGTH TO H20
Little Rock Lake - North,LN,24,LRN,24611,6,A,1,LOG,N,BEPA,Betula papyrifera ,paper birch,12,0,270,0,1,0,4,0,
Little Rock Lake - North,LN,24,LRN,24611,6,A,1,LOG,N,HARDWOOD,,hardwood,13,0,275,0,1,0,4,0,
Little Rock Lake - North,LN,24,LRN,24611,6,A,1,LOG,B,BEPA,Betula papyrifera ,paper birch,22,0,960,0,3,0,4,0,
Little Rock Lake - North,LN,24,LRN,24611,6,A,1,LOG,N,BEPA,Betula papyrifera ,paper birch,22.1,0,1285,0,3,0,1,0,
Little Rock Lake - North,LN,24,LRN,24611,6,A,1,LOG,N,BEPA,Betula papyrifera ,paper birch,22,0,515,0,2,1,2,0,
Little Rock Lake - North,LN,24,LRN,24551,5,E,1,LOG,N,CONIFER,,conifer,48,0,1985,1,3,0,4,2,2 = measured to H2O(assume length estimated): LENGTH TO H20
Little Rock Lake - North,LN,24,LRN,24531,5,C,1,LOG,N,CONIFER,,conifer,28,0,250,1,1,0,4,2,2 = measured to H2O(assume length estimated): LENGTH TO H20
Little Rock Lake - North,LN,24,LRN,24531,5,C,1,LOG,N,CONIFER,,conifer,22,0,725,1,3,0,4,2,2 = measured to H2O(assume length estimated): LENGTH TO H20
Little Rock Lake - North,LN,24,LRN,24531,5,C,1,SNAG,N,ACRU,Acer rubrum,red maple,15.2,0,,0,,3,,0,
Little Rock Lake - North,LN,24,LRN,24531,5,C,1,STUMP,N,BEPA,Betula papyrifera ,paper birch,19.8,0,,0,,0,,0,
Little Rock Lake - North,LN,24,LRN,24531,5,C,1,SNAG,N,BEPA,Betula papyrifera ,paper birch,23.9,0,,0,,0,,0,
Little Rock Lake - North,LN,24,LRN,24531,5,C,1,STUMP,N,HARDWOOD,,hardwood,50,0,,0,,0,,0,
Little Rock Lake - North,LN,24,LRN,24531,5,C,1,LOG,N,BEPA,Betula papyrifera ,paper birch,16,0,200,0,1,0,4,0,
Little Rock Lake - North,LN,24,LRN,24531,5,C,1,LOG,N,BEPA,Betula papyrifera ,paper birch,17,0,280,0,1,0,4,0,
Little Rock Lake - North,LN,24,LRN,24511,5,A,1,LOG,N,UNK,,unknown,12,0,,0,,0,5,99,99=Misc note: LOG UNDER MOSS
Little Rock Lake - North,LN,24,LRN,24511,5,A,1,LOG,N,CONIFER,,conifer,25,0,650,1,3,0,4,2,2 = measured to H2O(assume length estimated): LENGTH TO H20
Little Rock Lake - North,LN,24,LRN,24451,4,E,1,LOG,B,BEPA,Betula papyrifera ,paper birch,22,0,775,1,3,0,2,2,2 = measured to H2O(assume length estimated): LENGTH TO H20
Little Rock Lake - North,LN,24,LRN,24451,4,E,1,LOG,N,BEPA,Betula papyrifera ,paper birch,22,0,710,1,3,0,2,2,2 = measured to H2O(assume length estimated): LENGTH TO H20
Little Rock Lake - North,LN,24,LRN,24451,4,E,1,LOG,,BEPA,Betula papyrifera ,paper birch,24,0,835,1,3,0,3,2,2 = measured to H2O(assume length estimated): LENGTH TO H20
Little Rock Lake - North,LN,24,LRN,24451,4,E,1,LOG,B,BEPA,Betula papyrifera ,paper birch,25.8,0,1130,1,3,0,3,2,2 = measured to H2O(assume length estimated): LENGTH TO H20
Little Rock Lake - North,LN,24,LRN,24451,4,E,1,LOG,,BEPA,Betula papyrifera ,paper birch,19,0,326,1,2,0,4,2,2 = measured to H2O(assume length estimated): LENGTH TO H20
Little Rock Lake - North,LN,24,LRN,24451,4,E,1,STUMP,,BEPA,Betula papyrifera ,paper birch,24,0,,0,,0,,0,
Little Rock Lake - North,LN,24,LRN,24451,4,E,1,STUMP,B,BEPA,Betula papyrifera ,paper birch,25.8,0,,0,,0,,0,
Little Rock Lake - North,LN,24,LRN,24451,4,E,1,STUMP,B,BEPA,Betula papyrifera ,paper birch,26,0,,0,,0,,0,
Little Rock Lake - North,LN,24,LRN,24451,4,E,1,STUMP,B,BEPA,Betula papyrifera ,paper birch,26,0,,0,,0,,0,
Little Rock Lake - North,LN,24,LRN,24451,4,E,1,LOG,B,BEPA,Betula papyrifera ,paper birch,18,0,980,0,3,0,3,0,
Little Rock Lake - North,LN,24,LRN,24451,4,E,1,LOG,B,BEPA,Betula papyrifera ,paper birch,18,0,775,0,3,0,4,0,
Little Rock Lake - North,LN,24,LRN,24451,4,E,1,LOG,B,QURU,Quercus rubra,northern red oak,23.5,0,1150,0,3,1,3,0,
Little Rock Lake - North,LN,24,LRN,24451,4,E,1,LOG,B,BEPA,Betula papyrifera ,paper birch,24,0,1350,0,3,0,1,0,
Little Rock Lake - North,LN,24,LRN,24431,4,C,1,LOG,N,CONIFER,,conifer,87,0,325,0,2,0,5,99,99=Misc note: Hollow Inside
Little Rock Lake - North,LN,24,LRN,24431,4,C,1,LOG,,HARDWOOD,,hardwood,13,0,550,1,2,0,3,2,2 = measured to H2O(assume length estimated): LENGTH TO H20
Little Rock Lake - North,LN,24,LRN,24431,4,C,1,LOG,B,QURU,Quercus rubra,northern red oak,23,0,470,1,2,0,2,2,2 = measured to H2O(assume length estimated): LENGTH TO H20
Little Rock Lake - North,LN,24,LRN,24431,4,C,1,SNAG,N,QURU,Quercus rubra,northern red oak,18.2,0,,0,,0,,0,
Little Rock Lake - North,LN,24,LRN,24431,4,C,1,STUMP,B,BEPA,Betula papyrifera ,paper birch,20.2,0,,0,,0,,0,
Little Rock Lake - North,LN,24,LRN,24431,4,C,1,STUMP,B,QURU,Quercus rubra,northern red oak,23,0,,0,,0,,0,
Little Rock Lake - North,LN,24,LRN,24431,4,C,1,LOG,,BEPA,Betula papyrifera ,paper birch,17,0,1080,0,3,0,5,0,
Little Rock Lake - North,LN,24,LRN,24431,4,C,1,LOG,B,BEPA,Betula papyrifera ,paper birch,20.2,0,705,0,3,0,2,0,
Little Rock Lake - North,LN,24,LRN,24411,4,A,1,LOG,B,BEPA,Betula papyrifera ,paper birch,24,0,710,1,3,0,3,2,2 = measured to H2O(assume length estimated): LENGTH TO H20
Little Rock Lake - North,LN,24,LRN,24411,4,A,1,SNAG,N,ACRU,Acer rubrum,red maple,10,0,,0,,0,,0,
Little Rock Lake - North,LN,24,LRN,24411,4,A,1,STUMP,N,BEPA,Betula papyrifera ,paper birch,26,0,,0,,0,,0,
Little Rock Lake - North,LN,24,LRN,24411,4,A,1,LOG,N,BEPA,Betula papyrifera ,paper birch,14,0,224,0,1,0,4,0,
Little Rock Lake - North,LN,24,LRN,24411,4,A,1,LOG,B,BEPA,Betula papyrifera ,paper birch,20.5,0,1350,0,3,2,1,0,
Little Rock Lake - North,LN,24,LRN,24411,4,A,1,LOG,B,BEPA,Betula papyrifera ,paper birch,21.1,0,1010,0,3,0,2,0,
Little Rock Lake - North,LN,24,LRN,24411,4,A,1,LOG,B,BEPA,Betula papyrifera ,paper birch,17,0,575,0,2,0,2,0,
Little Rock Lake - North,LN,24,LRN,24351,3,E,1,STUMP,N,BEPA,Betula papyrifera ,paper birch,13,0,,0,,0,,0,
Little Rock Lake - North,LN,24,LRN,24351,3,E,1,SNAG,N,BEPA,Betula papyrifera ,paper birch,14.4,0,,0,,,,0,
Little Rock Lake - North,LN,24,LRN,24351,3,E,1,SNAG,N,BEPA,Betula papyrifera ,paper birch,15.5,0,,0,,1,,0,
Little Rock Lake - North,LN,24,LRN,24351,3,E,1,STUMP,N,BEPA,Betula papyrifera ,paper birch,15.7,0,,0,,0,,0,
Little Rock Lake - North,LN,24,LRN,24351,3,E,1,STUMP,N,BEPA,Betula papyrifera ,paper birch,17.4,0,,0,,0,,0,
Little Rock Lake - North,LN,24,LRN,24351,3,E,1,LOG,N,BEPA,Betula papyrifera ,paper birch,12.7,0,240,0,1,0,4,0,
Little Rock Lake - North,LN,24,LRN,24351,3,E,1,LOG,N,CONIFER,,conifer,20,0,200,0,1,0,5,0,
Little Rock Lake - North,LN,24,LRN,24351,3,E,1,LOG,N,BEPA,Betula papyrifera ,paper birch,14,0,370,0,2,0,4,0,
Little Rock Lake - North,LN,24,LRN,24351,3,E,1,LOG,N,BEPA,Betula papyrifera ,paper birch,15,0,525,0,2,0,4,0,
Little Rock Lake - North,LN,24,LRN,24331,3,C,1,SNAG,N,BEPA,Betula papyrifera ,paper birch,18.4,0,,0,,,,0,
Little Rock Lake - North,LN,24,LRN,24331,3,C,1,LOG,U,BEPA,Betula papyrifera ,paper birch,12.2,0,245,0,1,0,4,0,
Little Rock Lake - North,LN,24,LRN,24331,3,C,1,LOG,N,BEPA,Betula papyrifera ,paper birch,20,0,190,0,1,0,4,0,
Little Rock Lake - North,LN,24,LRN,24331,3,C,1,LOG,N,BEPA,Betula papyrifera ,paper birch,15,0,765,0,3,0,4,0,
Little Rock Lake - North,LN,24,LRN,24331,3,C,1,LOG,U,BEPA,Betula papyrifera ,paper birch,13,0,345,0,2,0,4,0,
Little Rock Lake - North,LN,24,LRN,24331,3,C,1,LOG,N,BEPA,Betula papyrifera ,paper birch,16,0,380,0,2,0,4,0,
Little Rock Lake - North,LN,24,LRN,24323,3,B,3,STUMP,U,CONIFER,,conifer,24,0,,0,,0,,0,
Little Rock Lake - North,LN,24,LRN,24323,3,B,3,STUMP,U,CONIFER,,conifer,28,0,,0,,0,,0,
Little Rock Lake - North,LN,24,LRN,24323,3,B,3,LOG,B,POGR,Populus grandidentata ,big tooth aspen,21.4,0,1430,0,3,1,4,0,
Little Rock Lake - North,LN,24,LRN,24323,3,B,3,LOG,B,HARDWOOD,,hardwood,27.5,0,1540,0,3,0,4,0,
Little Rock Lake - North,LN,24,LRN,24323,3,B,3,LOG,B,POGR,Populus grandidentata ,big tooth aspen,29,0,1855,0,3,0,4,0,
Little Rock Lake - North,LN,24,LRN,24323,3,B,3,LOG,B,HARDWOOD,,hardwood,30.3,0,1830,0,3,0,4,0,
Little Rock Lake - North,LN,24,LRN,24323,3,B,3,LOG,,HARDWOOD,,hardwood,18,0,440,0,2,0,5,0,
Little Rock Lake - North,LN,24,LRN,24312,3,A,2,STUMP,B,BEPA,Betula papyrifera ,paper birch,13,0,,0,,0,,0,
Little Rock Lake - North,LN,24,LRN,24312,3,A,2,STUMP,B,BEPA,Betula papyrifera ,paper birch,15,0,,0,,0,,0,
Little Rock Lake - North,LN,24,LRN,24312,3,A,2,STUMP,U,CONIFER,,conifer,16,0,,0,,0,,0,
Little Rock Lake - North,LN,24,LRN,24312,3,A,2,STUMP,U,CONIFER,,conifer,17,0,,0,,0,,0,
